"Source:"	"/home/moptim/elektronicks/kello-yritys2/kello-yritys2.sch"
"Date:"	"ke  5. helmikuuta 2020 20.32.08"
"Tool:"	"Eeschema 5.1.5-52549c5~84~ubuntu18.04.1"
"Component Count:"	"205"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"Q3"	"BSS83P"	"Transistor_FET:BSS83P"	"Package_TO_SOT_SMD:SOT-23"	"-0.33A Id, -60V Vds, P-Channel MOSFET, SOT-23-3"	""
"Q4"	"2N7002"	"Transistor_FET:2N7002"	"Package_TO_SOT_SMD:SOT-416"	"0.115A Id, 60V Vds, N-channel MOSFET, SOT-23"	""
"Q5"	"2N7002"	"Transistor_FET:2N7002"	"Package_TO_SOT_SMD:SOT-416"	"0.115A Id, 60V Vds, N-channel MOSFET, SOT-23"	""
"Q6"	"2N7002"	"Transistor_FET:2N7002"	"Package_TO_SOT_SMD:SOT-416"	"0.115A Id, 60V Vds, N-channel MOSFET, SOT-23"	""
"Q7"	"2N7002"	"Transistor_FET:2N7002"	"Package_TO_SOT_SMD:SOT-416"	"0.115A Id, 60V Vds, N-channel MOSFET, SOT-23"	""
"Q8"	"2N7002"	"Transistor_FET:2N7002"	"Package_TO_SOT_SMD:SOT-416"	"0.115A Id, 60V Vds, N-channel MOSFET, SOT-23"	""
"Q9"	"2N7002"	"Transistor_FET:2N7002"	"Package_TO_SOT_SMD:SOT-416"	"0.115A Id, 60V Vds, N-channel MOSFET, SOT-23"	""
"Q10"	"2N7002"	"Transistor_FET:2N7002"	"Package_TO_SOT_SMD:SOT-416"	"0.115A Id, 60V Vds, N-channel MOSFET, SOT-23"	""
"Q11"	"2N7002"	"Transistor_FET:2N7002"	"Package_TO_SOT_SMD:SOT-416"	"0.115A Id, 60V Vds, N-channel MOSFET, SOT-23"	""
"Q12"	"2N7002"	"Transistor_FET:2N7002"	"Package_TO_SOT_SMD:SOT-416"	"0.115A Id, 60V Vds, N-channel MOSFET, SOT-23"	""
"Q13"	"2N7002"	"Transistor_FET:2N7002"	"Package_TO_SOT_SMD:SOT-416"	"0.115A Id, 60V Vds, N-channel MOSFET, SOT-23"	""
"Q14"	"2N7002"	"Transistor_FET:2N7002"	"Package_TO_SOT_SMD:SOT-416"	"0.115A Id, 60V Vds, N-channel MOSFET, SOT-23"	""
"Q15"	"BSS83P"	"Transistor_FET:BSS83P"	"Package_TO_SOT_SMD:SOT-23"	"-0.33A Id, -60V Vds, P-Channel MOSFET, SOT-23-3"	""
"Q16"	"BSS83P"	"Transistor_FET:BSS83P"	"Package_TO_SOT_SMD:SOT-23"	"-0.33A Id, -60V Vds, P-Channel MOSFET, SOT-23-3"	""
"Q17"	"BSS83P"	"Transistor_FET:BSS83P"	"Package_TO_SOT_SMD:SOT-23"	"-0.33A Id, -60V Vds, P-Channel MOSFET, SOT-23-3"	""
"R1"	"47k"	"Device:R"	""	"Resistor"	""
"R2"	"150k"	"Device:R"	""	"Resistor"	""
"R3"	"27k"	"Device:R"	""	"Resistor"	""
"R4"	"10k"	"Device:R"	""	"Resistor"	""
"R5"	"680"	"Device:R_Small"	""	"Resistor, small symbol"	""
